타임스탬프,이메일 주소,1. 본인의 성명을 입력해주십시오.,2. 본인의 학번을 입력해 주십시오,3. 본인의 학년 또는 지위를 선택해 주십시오.,4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [1지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [2지망],4. 1지망~3지망 지정좌석을 각각 선택해 주십시오. [3지망]
1/11/2000 12:00,lvunlpaih0@snu.ac.kr,원아이,2000-11360,2학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,wsozctwjls@snu.ac.kr,석온유,2000-11283,2학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,gbcvarlw3m@snu.ac.kr,도세건,2000-11301,2학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,6bkadevvhy@snu.ac.kr,윤하주,2000-11505,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,c8qizk3c9x@snu.ac.kr,공종연,2000-11250,1학년,법오 큰방(평상),법오 작은방(평상),15동 401호(평상)
1/11/2000 12:00,6oqoloeazc@snu.ac.kr,임유선,2000-11355,2학년,15동 404호(칸막이),법오 큰방(평상),국산(칸막이)
1/11/2000 12:00,s445gdej31@snu.ac.kr,여윤준,2000-11323,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,e7ckw5ngcx@snu.ac.kr,강현늘,2000-11113,1학년,15동 404호(칸막이),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,ysm8t2sa5b@snu.ac.kr,편빛재,2000-11203,1학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,fqjja26yfp@snu.ac.kr,심온율,2000-11168,1학년,법오 큰방(칸막이),15동 404호(칸막이),15동 403호(평상)
1/11/2000 12:00,atwyam1n0l@snu.ac.kr,전서채,2000-11290,2학년,법오 큰방(칸막이),국산(칸막이),15동 401호(칸막이)
1/11/2000 12:00,bcyh3fvl03@snu.ac.kr,허샘찬,2000-11312,2학년,법오 큰방(평상),15동 403호(칸막이),15동 404호(칸막이)
1/11/2000 12:00,4yxfiblejg@snu.ac.kr,신봄겨,2000-11491,3학년,15동 403호(평상),법오 큰방(평상),법오 작은방(평상)
1/11/2000 12:00,5o31yhxso7@snu.ac.kr,오예아,2000-11475,3학년,15동 404호(칸막이),법오 큰방(평상),법오 큰방(칸막이)
1/11/2000 12:00,dz09wftbgm@snu.ac.kr,연시이,2000-11429,3학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,1whhkt1yjf@snu.ac.kr,나은유,2000-11442,3학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,xmxb9yo18p@snu.ac.kr,한태순,2000-11262,2학년,법오 골방(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,vsb0ukoefu@snu.ac.kr,방우훈,2000-11577,졸업생,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,o1vsmado8e@snu.ac.kr,유민담,2000-11263,2학년,국산(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,d7oi0pesgb@snu.ac.kr,주서래,2000-11391,2학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,pb90spo3zd@snu.ac.kr,전지서,2000-11482,3학년,15동 401호(평상),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,gg2b9iqiux@snu.ac.kr,허소결,2000-11534,3학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,ifd0tvbdiv@snu.ac.kr,권수용,2000-11111,1학년,15동 403호(평상),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,u1gspk9p38@snu.ac.kr,박한종,2000-11158,1학년,15동 401호(평상),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,fhv1xg1r11@snu.ac.kr,류숙승,2000-11190,1학년,법오 작은방(평상),국산(칸막이),15동 401호(칸막이)
1/11/2000 12:00,ex6u86zjq7@snu.ac.kr,황율채,2000-11464,3학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,suoc1y5ayy@snu.ac.kr,허율서,2000-11540,3학년,법오 작은방(평상),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,ren93iiuc0@snu.ac.kr,김윤시,2000-11119,1학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,vm2p9e6gbp@snu.ac.kr,주영태,2000-11134,1학년,15동 401호(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,07g2re6zvl@snu.ac.kr,위우승,2000-11478,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,5l8a78e9ri@snu.ac.kr,허가석,2000-11244,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,d76szn9dde@snu.ac.kr,윤결달,2000-11291,2학년,15동 404호(칸막이),법오 큰방(평상),법오 작은방(평상)
1/11/2000 12:00,2qc1iyyo4u@snu.ac.kr,추린지,2000-11172,1학년,법오 큰방(칸막이),15동 403호(평상),15동 401호(평상)
1/11/2000 12:00,2jtxb02b6l@snu.ac.kr,송현남,2000-11523,3학년,법오 큰방(칸막이),법오 큰방(평상),국산(칸막이)
1/11/2000 12:00,yzx9jpnbzu@snu.ac.kr,탁찬연,2000-11322,2학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,4lorxdtg5n@snu.ac.kr,민아람,2000-11309,2학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,6af58c2jwo@snu.ac.kr,길경사,2000-11165,1학년,법오 큰방(평상),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,mzrr45ed5g@snu.ac.kr,도진영,2000-11539,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,1r8vnrpjy9@snu.ac.kr,노현주,2000-11499,3학년,15동 404호(칸막이),법오 큰방(칸막이),15동 403호(칸막이)
1/11/2000 12:00,ier7u8h0im@snu.ac.kr,백온윤,2000-11486,3학년,법오 큰방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,q1rdxck36h@snu.ac.kr,원가유,2000-11361,2학년,15동 404호(칸막이),법오 작은방(평상),15동 401호(칸막이)
1/11/2000 12:00,yjoa21a6xv@snu.ac.kr,유윤명,2000-11319,2학년,법오 골방(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,oih5csk30l@snu.ac.kr,조옥우,2000-11240,1학년,15동 404호(칸막이),15동 401호(평상),법오 큰방(칸막이)
1/11/2000 12:00,1lfc1nlc8j@snu.ac.kr,선윤재,2000-11465,3학년,15동 401호(평상),15동 401호(칸막이),국산(칸막이)
1/11/2000 12:00,3i12vj99t2@snu.ac.kr,백주철,2000-11177,1학년,법오 큰방(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,erpetiuymo@snu.ac.kr,하채현,2000-11187,1학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,j7upfln4rx@snu.ac.kr,유한하,2000-11246,1학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,173rih83j0@snu.ac.kr,이사호,2000-11533,3학년,법오 작은방(평상),15동 401호(평상),법오 큰방(칸막이)
1/11/2000 12:00,slcb8qsspy@snu.ac.kr,안승소,2000-11328,2학년,법오 큰방(칸막이),국산(칸막이),15동 403호(칸막이)
1/11/2000 12:00,p0aga24smu@snu.ac.kr,안람하,2000-11489,3학년,15동 404호(칸막이),15동 401호(칸막이),법오 작은방(평상)
1/11/2000 12:00,ttd96qe3rz@snu.ac.kr,심슬건,2000-11161,1학년,15동 401호(평상),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,w563btkf6x@snu.ac.kr,석용혁,2000-11420,2학년,법오 큰방(칸막이),15동 403호(평상),국산(칸막이)
1/11/2000 12:00,c1ydmt8vt4@snu.ac.kr,유종예,2000-11310,2학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,v71448n7od@snu.ac.kr,윤은한,2000-11302,2학년,법오 큰방(칸막이),법오 작은방(평상),15동 401호(평상)
1/11/2000 12:00,b2rtsoyg9z@snu.ac.kr,유유찬,2000-11383,2학년,법오 작은방(평상),15동 404호(칸막이),법오 골방(칸막이)
1/11/2000 12:00,sn9ye6bggr@snu.ac.kr,강서임,2000-11536,3학년,법오 작은방(평상),15동 401호(칸막이),법오 큰방(평상)
1/11/2000 12:00,gh8riec4d1@snu.ac.kr,박이건,2000-11196,1학년,15동 404호(칸막이),국산(칸막이),법오 골방(칸막이)
1/11/2000 12:00,qame4yrid3@snu.ac.kr,유바지,2000-11278,2학년,법오 큰방(칸막이),15동 401호(칸막이),15동 401호(평상)
1/11/2000 12:00,jcitfoyqbk@snu.ac.kr,백은훈,2000-11155,1학년,법오 큰방(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,4y4k7bpgyv@snu.ac.kr,방영한,2000-11432,3학년,15동 404호(칸막이),법오 작은방(평상),15동 403호(칸막이)
1/11/2000 12:00,z42o83rlkt@snu.ac.kr,위시재,2000-11275,2학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,iwf3km2kql@snu.ac.kr,한상호,2000-11416,2학년,15동 404호(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,m42wsc31tz@snu.ac.kr,구하윤,2000-11506,3학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,plo1urttqu@snu.ac.kr,유새윤,2000-11514,3학년,법오 큰방(칸막이),법오 큰방(평상),15동 401호(평상)
1/11/2000 12:00,8sa3idy3c7@snu.ac.kr,남도은,2000-11380,2학년,15동 401호(평상),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,2fvb66h3re@snu.ac.kr,민나현,2000-11568,3학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,poxko8g8qy@snu.ac.kr,임도유,2000-11188,1학년,법오 큰방(칸막이),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,nipar0zj7u@snu.ac.kr,선안재,2000-11454,3학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,cxll4zkloo@snu.ac.kr,배준지,2000-11135,1학년,법오 큰방(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,06moxsfh4g@snu.ac.kr,한윤석,2000-11358,2학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,i826gyup12@snu.ac.kr,연혜하,2000-11198,1학년,15동 401호(평상),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,819y207mer@snu.ac.kr,민람채,2000-11493,3학년,법오 큰방(평상),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,kdotrbad3w@snu.ac.kr,주찬소,2000-11308,2학년,15동 401호(평상),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,4qxgnrfio8@snu.ac.kr,추담라,2000-11424,3학년,국산(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,d3ih66w51o@snu.ac.kr,석복안,2000-11528,3학년,법오 큰방(평상),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,lz049enulq@snu.ac.kr,천아결,2000-11217,1학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(평상)
1/11/2000 12:00,18o1bj9rm7@snu.ac.kr,임안채,2000-11254,1학년,법오 작은방(평상),15동 404호(칸막이),15동 401호(평상)
1/11/2000 12:00,25a5piskff@snu.ac.kr,공하나,2000-11366,2학년,15동 404호(칸막이),15동 403호(칸막이),법오 작은방(평상)
1/11/2000 12:00,i9kqdgbk2l@snu.ac.kr,서복도,2000-11333,2학년,15동 404호(칸막이),법오 큰방(평상),15동 401호(칸막이)
1/11/2000 12:00,wktakpuxqp@snu.ac.kr,변결겨,2000-11136,1학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,kz2u2tnhey@snu.ac.kr,김훈동,2000-11266,2학년,15동 401호(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,oekntbz3m5@snu.ac.kr,이시마,2000-11451,3학년,15동 404호(칸막이),법오 큰방(칸막이),15동 403호(평상)
1/11/2000 12:00,yz7srcbplj@snu.ac.kr,길희빈,2000-11157,1학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,81a4rkgjzo@snu.ac.kr,황풀서,2000-11558,3학년,15동 404호(칸막이),법오 큰방(칸막이),15동 403호(칸막이)
1/11/2000 12:00,x7zcgdc5ta@snu.ac.kr,박찬숙,2000-11390,2학년,법오 작은방(평상),15동 404호(칸막이),법오 큰방(평상)
1/11/2000 12:00,1f8yc8gzkd@snu.ac.kr,류봄복,2000-11573,졸업생,법오 큰방(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,25qbrmqg1v@snu.ac.kr,양재서,2000-11446,3학년,법오 큰방(칸막이),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,muwahk2lsl@snu.ac.kr,편은우,2000-11436,3학년,법오 골방(칸막이),15동 404호(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,8u118qqvae@snu.ac.kr,하윤영,2000-11379,2학년,법오 큰방(평상),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,39yl9ue421@snu.ac.kr,배린지,2000-11473,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,te8tvq05px@snu.ac.kr,곽세근,2000-11392,2학년,15동 401호(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,d05nhqr6f7@snu.ac.kr,권현선,2000-11479,3학년,15동 401호(평상),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,8vuazxkdq9@snu.ac.kr,주봄바,2000-11368,2학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,mi9ayfquv9@snu.ac.kr,제철별,2000-11483,3학년,15동 401호(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,wsgy7vcnea@snu.ac.kr,류율봄,2000-11369,2학년,15동 401호(평상),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,9212pgyme6@snu.ac.kr,마혜연,2000-11401,2학년,15동 401호(평상),법오 작은방(평상),법오 큰방(칸막이)
1/11/2000 12:00,abofloaz1r@snu.ac.kr,전준우,2000-11467,3학년,법오 작은방(평상),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,7yktxg4ahf@snu.ac.kr,여근우,2000-11252,1학년,15동 404호(칸막이),15동 403호(칸막이),국산(칸막이)
1/11/2000 12:00,2zcfzw0lda@snu.ac.kr,한서린,2000-11255,1학년,법오 큰방(칸막이),15동 401호(칸막이),15동 401호(평상)
1/11/2000 12:00,tpac56t4uf@snu.ac.kr,주기영,2000-11130,1학년,법오 큰방(칸막이),15동 401호(평상),국산(칸막이)
1/11/2000 12:00,lgb0s0r2sd@snu.ac.kr,공숙주,2000-11178,1학년,15동 401호(평상),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,361i2hgj11@snu.ac.kr,조아온,2000-11170,1학년,15동 404호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,zp6swk2rv2@snu.ac.kr,우아아,2000-11331,2학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,5wnwlc83gy@snu.ac.kr,석미빛,2000-11403,2학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,u6l2ink4fk@snu.ac.kr,길현안,2000-11490,3학년,국산(칸막이),15동 403호(평상),법오 큰방(칸막이)
1/11/2000 12:00,j98cwn2y8f@snu.ac.kr,공아호,2000-11208,1학년,15동 404호(칸막이),15동 403호(평상),법오 골방(칸막이)
1/11/2000 12:00,tqvdz4x1zh@snu.ac.kr,채미지,2000-11180,1학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,soqz3mv1a0@snu.ac.kr,강루태,2000-11546,3학년,15동 401호(평상),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,zophgft4mp@snu.ac.kr,석은연,2000-11452,3학년,법오 큰방(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,34jtgxnx4s@snu.ac.kr,신다시,2000-11365,2학년,법오 작은방(평상),국산(칸막이),15동 401호(평상)
1/11/2000 12:00,fxzv4u3bbx@snu.ac.kr,고아하,2000-11215,1학년,15동 403호(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,1hssbelrqv@snu.ac.kr,천수준,2000-11221,1학년,15동 401호(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,jmu3momyvu@snu.ac.kr,서재윤,2000-11387,2학년,15동 404호(칸막이),법오 작은방(평상),국산(칸막이)
1/11/2000 12:00,ciildy5egt@snu.ac.kr,공은윤,2000-11516,3학년,법오 큰방(평상),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,widqj4bwvf@snu.ac.kr,박수윤,2000-11532,3학년,국산(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,vfgyw6zbnz@snu.ac.kr,천서별,2000-11197,1학년,국산(칸막이),15동 401호(칸막이),15동 404호(칸막이)
1/11/2000 12:00,9heyce4qgm@snu.ac.kr,손우준,2000-11480,3학년,15동 404호(칸막이),법오 작은방(평상),15동 403호(칸막이)
1/11/2000 12:00,m4t8bp6nln@snu.ac.kr,석남세,2000-11513,3학년,15동 401호(평상),법오 큰방(평상),15동 404호(칸막이)
1/11/2000 12:00,1oe5ei28ds@snu.ac.kr,나유하,2000-11374,2학년,15동 404호(칸막이),15동 403호(평상),법오 작은방(평상)
1/11/2000 12:00,mlfzkicwmp@snu.ac.kr,신동세,2000-11443,3학년,법오 큰방(칸막이),15동 404호(칸막이),15동 401호(칸막이)
1/11/2000 12:00,sgehn0z1r5@snu.ac.kr,신아진,2000-11557,3학년,법오 큰방(칸막이),15동 401호(칸막이),15동 404호(칸막이)
1/11/2000 12:00,292mtr6sng@snu.ac.kr,노우아,2000-11298,2학년,법오 큰방(칸막이),법오 작은방(평상),국산(칸막이)
1/11/2000 12:00,ppohswq40z@snu.ac.kr,권꽃하,2000-11224,1학년,15동 401호(평상),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,9hbn5elb45@snu.ac.kr,서바결,2000-11441,3학년,법오 작은방(평상),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,gpxahkudiz@snu.ac.kr,조도도,2000-11530,3학년,15동 404호(칸막이),15동 401호(평상),법오 큰방(평상)
1/11/2000 12:00,qs3qt36qny@snu.ac.kr,장담하,2000-11487,3학년,15동 404호(칸막이),국산(칸막이),15동 401호(칸막이)
1/11/2000 12:00,ryf0992qc6@snu.ac.kr,현상하,2000-11455,3학년,법오 큰방(칸막이),15동 404호(칸막이),15동 403호(칸막이)
1/11/2000 12:00,agrp2u4dtb@snu.ac.kr,여재우,2000-11251,1학년,법오 큰방(칸막이),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,1kht8xkody@snu.ac.kr,천아현,2000-11469,3학년,15동 401호(평상),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,c6k8djzr5s@snu.ac.kr,손현율,2000-11488,3학년,15동 404호(칸막이),법오 큰방(칸막이),국산(칸막이)
1/11/2000 12:00,eget1ghr09@snu.ac.kr,나임혜,2000-11151,1학년,15동 401호(칸막이),법오 큰방(칸막이),법오 큰방(평상)
1/11/2000 12:00,gnekrcpprc@snu.ac.kr,노지다,2000-11257,1학년,법오 큰방(칸막이),법오 작은방(평상),15동 404호(칸막이)
1/11/2000 12:00,1bwye6qvs8@snu.ac.kr,손지태,2000-11342,2학년,법오 골방(칸막이),15동 404호(칸막이),법오 작은방(평상)
1/11/2000 12:00,8hmbr5xqt4@snu.ac.kr,석온현,2000-11219,1학년,법오 작은방(평상),국산(칸막이),15동 404호(칸막이)
1/11/2000 12:00,solmlgses6@snu.ac.kr,설주하,2000-11189,1학년,법오 큰방(칸막이),15동 404호(칸막이),국산(칸막이)
1/11/2000 12:00,q9tea7187f@snu.ac.kr,방한담,2000-11492,3학년,국산(칸막이),15동 401호(평상),법오 작은방(평상)
1/11/2000 12:00,j3bqrr87iy@snu.ac.kr,방호도,2000-11460,3학년,법오 작은방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,bne6loh25n@snu.ac.kr,강건서,2000-11171,1학년,15동 401호(평상),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,zyrru7zkut@snu.ac.kr,유시유,2000-11226,1학년,국산(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,m9lbb4m0a6@snu.ac.kr,변아결,2000-11515,3학년,법오 작은방(평상),법오 큰방(칸막이),15동 403호(칸막이)
1/11/2000 12:00,4d4r9v4k00@snu.ac.kr,고유안,2000-11481,3학년,법오 큰방(칸막이),15동 401호(평상),15동 404호(칸막이)
1/11/2000 12:00,pnmjqy3ods@snu.ac.kr,나도용,2000-11320,2학년,15동 404호(칸막이),국산(칸막이),법오 큰방(칸막이)
1/11/2000 12:00,rtj5pht0hl@snu.ac.kr,안찬이,2000-11120,1학년,국산(칸막이),15동 403호(칸막이),법오 작은방(평상)
1/11/2000 12:00,mcxxbw01pd@snu.ac.kr,구원준,2000-11277,2학년,법오 큰방(칸막이),법오 작은방(평상),법오 큰방(평상)
1/11/2000 12:00,hw9c4hjku2@snu.ac.kr,유준호,2000-11518,3학년,15동 404호(칸막이),국산(칸막이),법오 작은방(평상)
1/11/2000 12:00,c21o0z5qru@snu.ac.kr,편찬재,2000-11274,2학년,15동 404호(칸막이),국산(칸막이),법오 큰방(평상)
1/11/2000 12:00,uytaul62cf@snu.ac.kr,윤다시,2000-11438,3학년,15동 404호(칸막이),법오 큰방(칸막이),법오 작은방(평상)
1/11/2000 12:00,0dxho87f00@snu.ac.kr,정들현,2000-11398,2학년,15동 401호(칸막이),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,8croyr6ccv@snu.ac.kr,유현도,2000-11179,1학년,법오 큰방(평상),법오 큰방(칸막이),15동 404호(칸막이)
1/11/2000 12:00,d2zdlx1q8f@snu.ac.kr,곽나별,2000-11445,3학년,국산(칸막이),법오 큰방(칸막이),15동 401호(평상)
1/11/2000 12:00,w9y80pfsrq@snu.ac.kr,주율온,2000-11566,3학년,국산(칸막이),15동 401호(평상),15동 401호(칸막이)
